start,end,today,fgd_id,participant_fgd_id,fdg_date,sex,age,school_now,educ_comp,educ_curr,specify_class,Specify_the_class,specify_form,Specify_the_form,employeed,curr_job,curr_job_other,marital,children_num,county,county_othr,reside,reside_othr,reside_time,reside_more
08/04/2019 09:45,08/04/2019 09:47,08/04/2019,NYA001,P02,04/04/2019,Male,17,0,4,NA,NA,NA,1,NA,0,NA,,1,2,38,,Nyalenda,NA,3,4
08/04/2019 09:42,08/04/2019 09:44,08/04/2019,NYA001,P06,04/04/2019,Male,18,0,2,NA,NA,7,NA,NA,1,6,,2,2,8,,Nyalenda Oboch,NA,1,4
08/04/2019 09:44,08/04/2019 09:45,08/04/2019,NYA001,P01,04/04/2019,Male,17,0,4,NA,NA,NA,1,NA,0,NA,,1,2,4,,Nyalenda ,NA,3,-7
08/04/2019 09:39,08/04/2019 09:41,08/04/2019,NYA001,P05,04/04/2019,Male,18,0,2,NA,NA,6,NA,NA,1,6,,1,2,17,,Nyalenda Yellow House,NA,4,4
08/04/2019 09:41,08/04/2019 09:42,08/04/2019,NYA001,P07,04/04/2019,Male,18,0,3,NA,NA,NA,NA,NA,1,13,Tailoring ,2,2,27,,Nyalenda Oboch,NA,2,-7
08/04/2019 09:36,08/04/2019 09:38,08/04/2019,NYA001,P03,04/04/2019,Male,18,0,5,NA,NA,NA,NA,3,0,NA,,1,2,4,,Nyalenda Pharmacy ,NA,3,-7
08/04/2019 09:38,08/04/2019 09:39,08/04/2019,NYA001,P04,04/04/2019,Male,19,0,5,NA,NA,NA,NA,3,0,NA,,1,2,17,,Nyalenda ,NA,2,-7
08/04/2019 08:49,08/04/2019 09:36,08/04/2019,NYA001,P08,04/04/2019,Male,19,0,-8,NA,NA,NA,NA,NA,1,13,Laundry lady,1,2,38,,Nyalenda Kowino,NA,5,-7
11/03/2019 09:04,11/03/2019 09:07,11/03/2019,MAN002,P01,09/03/2019,Female,15,1,NA,4,NA,NA,2,NA,0,NA,,1,1,38,,Manyatta,NA,4,4
11/03/2019 09:02,11/03/2019 09:04,11/03/2019,MAN002,P02,09/03/2019,Female,16,1,NA,2,NA,8,NA,NA,0,NA,,1,1,8,,Kanyakwar,NA,5,4
11/03/2019 08:57,11/03/2019 08:59,11/03/2019,MAN002,P04,09/03/2019,Female,17,1,NA,5,NA,NA,NA,3,0,NA,,1,1,45,,Manyatta,NA,5,4
11/03/2019 08:59,11/03/2019 09:01,11/03/2019,MAN002,P03,09/03/2019,Female,15,1,NA,4,NA,NA,1,NA,0,NA,,1,1,17,,Call box,NA,5,4
11/03/2019 08:56,11/03/2019 08:57,11/03/2019,MAN002,P05,09/03/2019,Female,17,1,NA,5,NA,NA,NA,4,0,NA,,1,1,27,,Call Box,NA,5,4
11/03/2019 08:52,11/03/2019 08:54,11/03/2019,MAN002,P07,09/03/2019,Female,15,1,NA,4,NA,NA,1,NA,0,NA,,1,1,38,,Corner mbaya,NA,5,4
11/03/2019 08:54,11/03/2019 08:56,11/03/2019,MAN002,P06,09/03/2019,Female,15,1,NA,4,NA,NA,2,NA,0,NA,,1,1,38,,Tunnel,NA,5,4
11/03/2019 08:50,11/03/2019 08:52,11/03/2019,MAN002,P08,09/03/2019,Female,16,1,NA,4,NA,NA,1,NA,0,NA,,1,1,17,,Corner mbaya,NA,5,4
11/03/2019 08:45,11/03/2019 08:46,11/03/2019,MAN001,P08,09/03/2019,Male,18,0,6,NA,NA,NA,NA,NA,0,NA,,2,1,38,,Manyatta Call box,NA,3,-7
11/03/2019 08:43,11/03/2019 08:44,11/03/2019,MAN001,P07,09/03/2019,Male,18,0,6,NA,NA,NA,NA,NA,0,NA,,2,1,17,,Manyatta skyway,NA,5,-7
11/03/2019 08:41,11/03/2019 08:43,11/03/2019,MAN001,P06,09/03/2019,Male,18,0,6,NA,NA,NA,NA,NA,0,NA,,1,1,38,,Flamingo,NA,5,-7
11/03/2019 08:39,11/03/2019 08:41,11/03/2019,MAN001,P05,09/03/2019,Male,19,0,6,NA,NA,NA,NA,NA,0,NA,,2,1,38,,Kondele,NA,5,4
11/03/2019 08:38,11/03/2019 08:39,11/03/2019,MAN001,P04,09/03/2019,Male,19,0,6,NA,NA,NA,NA,NA,0,NA,,1,2,38,,Kisumu,NA,5,4
11/03/2019 08:33,11/03/2019 08:34,11/03/2019,MAN001,P02,09/03/2019,Male,18,0,5,NA,NA,NA,NA,3,0,NA,,1,2,4,,Manyatta,NA,4,-7
